5	1610612743	1610612756	Nuggets	Suns
5	1610612752	1610612755	Knicks	76ers
5	1610612742	1610612756	Mavericks	Suns
5	1610612742	1610612743	Mavericks	Nuggets
5	1610612749	1610612764	Bucks	Wizards
5	1610612745	1610612759	Rockets	Spurs
5	1610612755	1610612751	76ers	Nets
5	1610612754	1610612765	Pacers	Pistons
4	1610612749	1610612755	Bucks	76ers
4	1610612753	1610612741	Magic	Bulls
4	1610612761	1610612751	Raptors	Nets
4	1610612761	1610612765	Raptors	Pistons
4	1610612738	1610612766	Celtics	Hornets
4	1610612754	1610612741	Pacers	Bulls
4	1610612737	1610612763	Hawks	Grizzlies
4	1610612755	1610612752	76ers	Knicks
4	1610612742	1610612763	Mavericks	Grizzlies
4	1610612739	1610612751	Cavaliers	Nets
4	1610612764	1610612766	Wizards	Hornets
4	1610612750	1610612746	Timberwolves	Clippers
4	1610612750	1610612756	Timberwolves	Suns
4	1610612748	1610612751	Heat	Nets
4	1610612753	1610612749	Magic	Bucks
4	1610612764	1610612738	Wizards	Celtics
4	1610612756	1610612759	Suns	Spurs
4	1610612766	1610612749	Hornets	Bucks
4	1610612757	1610612763	Trail Blazers	Grizzlies
4	1610612746	1610612742	Clippers	Mavericks
4	1610612741	1610612764	Bulls	Wizards
4	1610612744	1610612762	Warriors	Jazz
4	1610612764	1610612754	Wizards	Pacers
4	1610612762	1610612746	Jazz	Clippers
4	1610612763	1610612743	Grizzlies	Nuggets
4	1610612742	1610612750	Mavericks	Timberwolves
4	1610612740	1610612763	Pelicans	Grizzlies
4	1610612764	1610612737	Wizards	Hawks
4	1610612743	1610612759	Nuggets	Spurs
4	1610612739	1610612752	Cavaliers	Knicks
4	1610612750	1610612744	Timberwolves	Warriors
4	1610612745	1610612747	Rockets	Lakers
4	1610612737	1610612764	Hawks	Wizards
4	1610612748	1610612765	Heat	Pistons
4	1610612758	1610612746	Kings	Clippers
4	1610612740	1610612762	Pelicans	Jazz
4	1610612752	1610612761	Knicks	Raptors
4	1610612751	1610612761	Nets	Raptors
4	1610612743	1610612747	Nuggets	Lakers
4	1610612739	1610612753	Cavaliers	Magic
4	1610612742	1610612744	Mavericks	Warriors
4	1610612743	1610612744	Nuggets	Warriors
4	1610612744	1610612763	Warriors	Grizzlies
4	1610612743	1610612750	Nuggets	Timberwolves
4	1610612753	1610612764	Magic	Wizards
4	1610612750	1610612762	Timberwolves	Jazz
4	1610612765	1610612738	Pistons	Celtics
4	1610612752	1610612749	Knicks	Bucks
4	1610612758	1610612742	Kings	Mavericks
4	1610612744	1610612750	Warriors	Timberwolves
4	1610612764	1610612748	Wizards	Heat
4	1610612765	1610612764	Pistons	Wizards
4	1610612759	1610612758	Spurs	Kings
4	1610612761	1610612741	Raptors	Bulls
4	1610612737	1610612753	Hawks	Magic
4	1610612738	1610612761	Celtics	Raptors
4	1610612761	1610612752	Raptors	Knicks
4	1610612761	1610612749	Raptors	Bucks
4	1610612743	1610612763	Nuggets	Grizzlies
4	1610612762	1610612750	Jazz	Timberwolves
4	1610612758	1610612744	Kings	Warriors
4	1610612752	1610612737	Knicks	Hawks
4	1610612760	1610612746	Thunder	Clippers
4	1610612756	1610612744	Suns	Warriors
4	1610612757	1610612756	Trail Blazers	Suns
4	1610612748	1610612752	Heat	Knicks
4	1610612738	1610612764	Celtics	Wizards
4	1610612760	1610612740	Thunder	Pelicans
4	1610612755	1610612766	76ers	Hornets
4	1610612753	1610612737	Magic	Hawks
4	1610612752	1610612748	Knicks	Heat
4	1610612743	1610612742	Nuggets	Mavericks
4	1610612757	1610612760	Trail Blazers	Thunder
4	1610612755	1610612753	76ers	Magic
4	1610612740	1610612750	Pelicans	Timberwolves
4	1610612747	1610612745	Lakers	Rockets
4	1610612765	1610612748	Pistons	Heat
4	1610612746	1610612745	Clippers	Rockets
4	1610612743	1610612762	Nuggets	Jazz
4	1610612740	1610612742	Pelicans	Mavericks
4	1610612757	1610612750	Trail Blazers	Timberwolves
4	1610612747	1610612742	Lakers	Mavericks
4	1610612760	1610612750	Thunder	Timberwolves
4	1610612749	1610612752	Bucks	Knicks
4	1610612763	1610612742	Grizzlies	Mavericks
4	1610612766	1610612753	Hornets	Magic
4	1610612754	1610612738	Pacers	Celtics
4	1610612766	1610612739	Hornets	Cavaliers
4	1610612756	1610612740	Suns	Pelicans
4	1610612746	1610612756	Clippers	Suns
4	1610612746	1610612740	Clippers	Pelicans
4	1610612760	1610612757	Thunder	Trail Blazers
4	1610612740	1610612746	Pelicans	Clippers
4	1610612740	1610612759	Pelicans	Spurs
4	1610612737	1610612765	Hawks	Pistons
4	1610612747	1610612763	Lakers	Grizzlies
4	1610612744	1610612756	Warriors	Suns
4	1610612764	1610612753	Wizards	Magic
4	1610612753	1610612751	Magic	Nets
4	1610612747	1610612746	Lakers	Clippers
4	1610612754	1610612751	Pacers	Nets
4	1610612762	1610612747	Jazz	Lakers
4	1610612758	1610612747	Kings	Lakers
4	1610612753	1610612761	Magic	Raptors
4	1610612754	1610612749	Pacers	Bucks
4	1610612745	1610612757	Rockets	Trail Blazers
4	1610612738	1610612754	Celtics	Pacers
4	1610612763	1610612758	Grizzlies	Kings
4	1610612766	1610612751	Hornets	Nets
4	1610612761	1610612755	Raptors	76ers
4	1610612766	1610612764	Hornets	Wizards
4	1610612757	1610612745	Trail Blazers	Rockets
4	1610612750	1610612742	Timberwolves	Mavericks
4	1610612766	1610612755	Hornets	76ers
4	1610612749	1610612739	Bucks	Cavaliers
4	1610612762	1610612740	Jazz	Pelicans
4	1610612761	1610612737	Raptors	Hawks
4	1610612743	1610612758	Nuggets	Kings
4	1610612761	1610612738	Raptors	Celtics
4	1610612766	1610612738	Hornets	Celtics
4	1610612748	1610612754	Heat	Pacers
4	1610612750	1610612740	Timberwolves	Pelicans
4	1610612752	1610612766	Knicks	Hornets
4	1610612759	1610612746	Spurs	Clippers
4	1610612758	1610612740	Kings	Pelicans
4	1610612759	1610612762	Spurs	Jazz
4	1610612752	1610612741	Knicks	Bulls
4	1610612749	1610612753	Bucks	Magic
4	1610612747	1610612756	Lakers	Suns
4	1610612741	1610612739	Bulls	Cavaliers
4	1610612752	1610612739	Knicks	Cavaliers
4	1610612749	1610612741	Bucks	Bulls
4	1610612744	1610612747	Warriors	Lakers
4	1610612761	1610612766	Raptors	Hornets
4	1610612737	1610612741	Hawks	Bulls
4	1610612752	1610612765	Knicks	Pistons
4	1610612754	1610612748	Pacers	Heat
4	1610612751	1610612764	Nets	Wizards
4	1610612761	1610612746	Raptors	Clippers
4	1610612741	1610612748	Bulls	Heat
4	1610612751	1610612739	Nets	Cavaliers
4	1610612750	1610612758	Timberwolves	Kings
4	1610612758	1610612762	Kings	Jazz
4	1610612765	1610612755	Pistons	76ers
4	1610612744	1610612746	Warriors	Clippers
4	1610612745	1610612763	Rockets	Grizzlies
4	1610612756	1610612763	Suns	Grizzlies
4	1610612762	1610612759	Jazz	Spurs
4	1610612747	1610612757	Lakers	Trail Blazers
4	1610612746	1610612750	Clippers	Timberwolves
4	1610612743	1610612757	Nuggets	Trail Blazers
4	1610612759	1610612742	Spurs	Mavericks
4	1610612763	1610612756	Grizzlies	Suns
4	1610612742	1610612740	Mavericks	Pelicans
4	1610612763	1610612757	Grizzlies	Trail Blazers
4	1610612741	1610612755	Bulls	76ers
4	1610612747	1610612759	Lakers	Spurs
4	1610612763	1610612747	Grizzlies	Lakers
4	1610612765	1610612741	Pistons	Bulls
4	1610612742	1610612759	Mavericks	Spurs
4	1610612747	1610612750	Lakers	Timberwolves
4	1610612750	1610612757	Timberwolves	Trail Blazers
4	1610612739	1610612755	Cavaliers	76ers
4	1610612742	1610612758	Mavericks	Kings
4	1610612740	1610612745	Pelicans	Rockets
4	1610612739	1610612764	Cavaliers	Wizards
4	1610612741	1610612752	Bulls	Knicks
4	1610612737	1610612761	Hawks	Raptors
4	1610612756	1610612746	Suns	Clippers
4	1610612740	1610612747	Pelicans	Lakers
4	1610612766	1610612737	Hornets	Hawks
4	1610612760	1610612747	Thunder	Lakers
4	1610612754	1610612752	Pacers	Knicks
4	1610612765	1610612749	Pistons	Bucks
4	1610612748	1610612741	Heat	Bulls
4	1610612759	1610612740	Spurs	Pelicans
4	1610612751	1610612765	Nets	Pistons
4	1610612752	1610612753	Knicks	Magic
4	1610612738	1610612741	Celtics	Bulls
4	1610612750	1610612743	Timberwolves	Nuggets
4	1610612741	1610612740	Bulls	Pelicans
4	1610612747	1610612760	Lakers	Thunder
4	1610612751	1610612753	Nets	Magic
4	1610612744	1610612742	Warriors	Mavericks
4	1610612737	1610612754	Hawks	Pacers
4	1610612741	1610612766	Bulls	Hornets
4	1610612757	1610612743	Trail Blazers	Nuggets
4	1610612756	1610612750	Suns	Timberwolves
