INFO:MyNBA:Downloading players...
INFO:MyNBA:Downloading players...
INFO:PlayerApi:Larry Drew II saved.
INFO:PlayerApi:Andre Drummond saved.
INFO:PlayerApi:Jared Dudley saved.
INFO:PlayerApi:Kris Dunn saved.
INFO:PlayerApi:Kevin Durant saved.
INFO:PlayerApi:Jarell Eddie saved.
INFO:PlayerApi:Henry Ellenson saved.
INFO:PlayerApi:Wayne Ellington saved.
INFO:PlayerApi:Joel Embiid saved.
INFO:PlayerApi:Tyler Ennis saved.
INFO:PlayerApi:James Ennis III saved.
INFO:PlayerApi:Jawun Evans saved.
INFO:PlayerApi:Jeremy Evans saved.
INFO:PlayerApi:Tyreke Evans saved.
INFO:PlayerApi:Dante Exum saved.
INFO:PlayerApi:Kenneth Faried saved.
INFO:PlayerApi:Derrick Favors saved.
INFO:PlayerApi:Kay Felder saved.
INFO:PlayerApi:Cristiano Felicio saved.
INFO:PlayerApi:Raymond Felton saved.
INFO:PlayerApi:Terrance Ferguson saved.
INFO:PlayerApi:Yogi Ferrell saved.
INFO:PlayerApi:Dorian Finney-Smith saved.
INFO:PlayerApi:Bryn Forbes saved.
INFO:PlayerApi:Evan Fournier saved.
INFO:PlayerApi:De'Aaron Fox saved.
INFO:PlayerApi:Tim Frazier saved.
INFO:PlayerApi:Channing Frye saved.
INFO:PlayerApi:Markelle Fultz saved.
INFO:PlayerApi:Danilo Gallinari saved.
INFO:PlayerApi:Langston Galloway saved.
INFO:PlayerApi:Marc Gasol saved.
INFO:PlayerApi:Pau Gasol saved.
INFO:PlayerApi:Rudy Gay saved.
INFO:PlayerApi:Paul George saved.
INFO:PlayerApi:Marcus Georges-Hunt saved.
INFO:PlayerApi:Jonathan Gibson saved.
INFO:PlayerApi:Taj Gibson saved.
INFO:PlayerApi:Manu Ginobili saved.
INFO:PlayerApi:Rudy Gobert saved.
INFO:PlayerApi:Aaron Gordon saved.
INFO:PlayerApi:Eric Gordon saved.
INFO:PlayerApi:Marcin Gortat saved.
INFO:PlayerApi:Treveon Graham saved.
INFO:PlayerApi:Jerami Grant saved.
INFO:PlayerApi:Jerian Grant saved.
INFO:PlayerApi:Josh Gray saved.
INFO:PlayerApi:Danny Green saved.
INFO:PlayerApi:Draymond Green saved.
INFO:PlayerApi:Gerald Green saved.
INFO:PlayerApi:JaMychal Green saved.
INFO:PlayerApi:Jeff Green saved.
INFO:PlayerApi:Blake Griffin saved.
INFO:PlayerApi:Daniel Hamilton saved.
INFO:PlayerApi:Tim Hardaway Jr. saved.
INFO:PlayerApi:James Harden saved.
INFO:PlayerApi:Maurice Harkless saved.
INFO:PlayerApi:Montrezl Harrell saved.
INFO:PlayerApi:Devin Harris saved.
INFO:PlayerApi:Gary Harris saved.
INFO:PlayerApi:Joe Harris saved.
INFO:PlayerApi:Tobias Harris saved.
INFO:PlayerApi:Aaron Harrison saved.
INFO:PlayerApi:Andrew Harrison saved.
INFO:PlayerApi:Shaquille Harrison saved.
INFO:PlayerApi:Josh Hart saved.
INFO:PlayerApi:Udonis Haslem saved.
INFO:PlayerApi:Nigel Hayes saved.
INFO:PlayerApi:Gordon Hayward saved.
INFO:PlayerApi:Reggie Hearn saved.
INFO:PlayerApi:Myke Henry saved.
INFO:PlayerApi:John Henson saved.
INFO:PlayerApi:Juancho Hernangomez saved.
INFO:PlayerApi:Willy Hernangomez saved.
INFO:PlayerApi:Mario Hezonja saved.
INFO:PlayerApi:Isaiah Hicks saved.
INFO:PlayerApi:Buddy Hield saved.
INFO:PlayerApi:Nene Hilario saved.
INFO:PlayerApi:George Hill saved.
INFO:PlayerApi:Solomon Hill saved.
INFO:PlayerApi:Darrun Hilliard saved.
INFO:PlayerApi:Jrue Holiday saved.
INFO:PlayerApi:Justin Holiday saved.
INFO:PlayerApi:John Holland saved.
INFO:PlayerApi:Rondae Hollis-Jefferson saved.
INFO:PlayerApi:Richaun Holmes saved.
INFO:PlayerApi:Rodney Hood saved.
INFO:PlayerApi:Scotty Hopson saved.
INFO:PlayerApi:Al Horford saved.
INFO:PlayerApi:Danuel House saved.
INFO:PlayerApi:Dwight Howard saved.
INFO:PlayerApi:Josh Huestis saved.
INFO:PlayerApi:RJ Hunter saved.
INFO:PlayerApi:Vincent Hunter saved.
INFO:PlayerApi:Serge Ibaka saved.
INFO:PlayerApi:Andre Iguodala saved.
INFO:PlayerApi:Ersan Ilyasova saved.
INFO:PlayerApi:Joe Ingles saved.
INFO:PlayerApi:Andre Ingram saved.
INFO:PlayerApi:Brandon Ingram saved.
INFO:PlayerApi:Kyrie Irving saved.
INFO:PlayerApi:Jonathan Isaac saved.
INFO:PlayerApi:Wes Iwundu saved.
INFO:PlayerApi:Jarrett Jack saved.
INFO:PlayerApi:Aaron Jackson saved.
INFO:PlayerApi:Demetrius Jackson saved.
INFO:PlayerApi:Josh Jackson saved.
INFO:PlayerApi:Justin Jackson saved.
INFO:PlayerApi:Reggie Jackson saved.
INFO:PlayerApi:LeBron James saved.
INFO:PlayerApi:Mike James saved.
INFO:PlayerApi:Al Jefferson saved.
INFO:PlayerApi:Richard Jefferson saved.
INFO:PlayerApi:Brandon Jennings saved.
INFO:PlayerApi:Jonas Jerebko saved.
INFO:PlayerApi:Amir Johnson saved.
INFO:PlayerApi:Brice Johnson saved.
INFO:PlayerApi:Dakari Johnson saved.
INFO:PlayerApi:James Johnson saved.
INFO:PlayerApi:Joe Johnson saved.
INFO:PlayerApi:Omari Johnson saved.
INFO:PlayerApi:Stanley Johnson saved.
INFO:PlayerApi:Tyler Johnson saved.
INFO:PlayerApi:Wesley Johnson saved.
INFO:PlayerApi:Nikola Jokic saved.
INFO:PlayerApi:Damian Jones saved.
INFO:PlayerApi:Jalen Jones saved.
INFO:PlayerApi:Tyus Jones saved.
INFO:PlayerApi:Derrick Jones Jr. saved.
INFO:PlayerApi:DeAndre Jordan saved.
INFO:PlayerApi:Cory Joseph saved.
INFO:PlayerApi:Frank Kaminsky saved.
INFO:PlayerApi:Enes Kanter saved.
INFO:PlayerApi:Luke Kennard saved.
INFO:PlayerApi:Michael Kidd-Gilchrist saved.
INFO:PlayerApi:Sean Kilpatrick saved.
INFO:PlayerApi:Maxi Kleber saved.
INFO:PlayerApi:Furkan Korkmaz saved.
INFO:PlayerApi:Luke Kornet saved.
INFO:PlayerApi:Kyle Korver saved.
INFO:PlayerApi:Kosta Koufos saved.
INFO:PlayerApi:Kyle Kuzma saved.
INFO:PlayerApi:Mindaugas Kuzminskas saved.
INFO:PlayerApi:Zach LaVine saved.
INFO:PlayerApi:Skal Labissiere saved.
INFO:PlayerApi:Jeremy Lamb saved.
INFO:PlayerApi:Shane Larkin saved.
INFO:PlayerApi:Joffrey Lauvergne saved.
INFO:PlayerApi:Jake Layman saved.
INFO:PlayerApi:Caris LeVert saved.
INFO:PlayerApi:TJ Leaf saved.
INFO:PlayerApi:Courtney Lee saved.
INFO:PlayerApi:Damion Lee saved.
INFO:PlayerApi:Walter Lemon Jr. saved.
INFO:PlayerApi:Alex Len saved.
INFO:PlayerApi:Kawhi Leonard saved.
INFO:PlayerApi:Meyers Leonard saved.
INFO:PlayerApi:Jon Leuer saved.
INFO:PlayerApi:DeAndre Liggins saved.
INFO:PlayerApi:Damian Lillard saved.
INFO:PlayerApi:Jeremy Lin saved.
INFO:PlayerApi:Shaun Livingston saved.
INFO:PlayerApi:Kevon Looney saved.
INFO:PlayerApi:Brook Lopez saved.
INFO:PlayerApi:Robin Lopez saved.
INFO:PlayerApi:Kevin Love saved.
INFO:PlayerApi:Kyle Lowry saved.
INFO:PlayerApi:Timothe Luwawu-Cabarrot saved.
INFO:PlayerApi:Tyler Lydon saved.
INFO:PlayerApi:Trey Lyles saved.
INFO:PlayerApi:Shelvin Mack saved.
INFO:PlayerApi:Josh Magette saved.
INFO:PlayerApi:Ian Mahinmi saved.
INFO:PlayerApi:Thon Maker saved.
INFO:PlayerApi:Boban Marjanovic saved.
INFO:PlayerApi:Lauri Markkanen saved.
INFO:PlayerApi:Jarell Martin saved.
INFO:PlayerApi:Frank Mason saved.
INFO:PlayerApi:Mangok Mathiang saved.
INFO:PlayerApi:Wesley Matthews saved.
INFO:PlayerApi:Luc Mbah a Moute saved.
INFO:PlayerApi:James Michael McAdoo saved.
INFO:PlayerApi:Patrick McCaw saved.
INFO:PlayerApi:CJ McCollum saved.
INFO:PlayerApi:T.J. McConnell saved.
INFO:PlayerApi:Erik McCree saved.
INFO:PlayerApi:Chris McCullough saved.
INFO:PlayerApi:Doug McDermott saved.
INFO:PlayerApi:JaVale McGee saved.
INFO:PlayerApi:Rodney McGruder saved.
INFO:PlayerApi:Trey McKinney-Jones saved.
INFO:PlayerApi:Alfonzo McKinnie saved.
INFO:PlayerApi:Ben McLemore saved.
INFO:PlayerApi:Josh McRoberts saved.
INFO:PlayerApi:Jodie Meeks saved.
INFO:PlayerApi:Salah Mejri saved.
INFO:PlayerApi:Jordan Mickey saved.
INFO:PlayerApi:Khris Middleton saved.
INFO:PlayerApi:CJ Miles saved.
INFO:PlayerApi:Darius Miller saved.
INFO:PlayerApi:Malcolm Miller saved.
INFO:PlayerApi:Patty Mills saved.
INFO:PlayerApi:Paul Millsap saved.
INFO:PlayerApi:Nikola Mirotic saved.
INFO:PlayerApi:Donovan Mitchell saved.
INFO:PlayerApi:Naz Mitrou-Long saved.
INFO:PlayerApi:Malik Monk saved.
INFO:PlayerApi:Greg Monroe saved.
INFO:PlayerApi:Luis Montero saved.
INFO:PlayerApi:Ben Moore saved.
INFO:PlayerApi:E'Twaun Moore saved.
INFO:PlayerApi:Eric Moreland saved.
INFO:PlayerApi:Jaylen Morris saved.
INFO:PlayerApi:Marcus Morris saved.
INFO:PlayerApi:Markieff Morris saved.
INFO:PlayerApi:Monte Morris saved.
INFO:PlayerApi:Johnathan Motley saved.
INFO:PlayerApi:Timofey Mozgov saved.
INFO:PlayerApi:Emmanuel Mudiay saved.
INFO:PlayerApi:Shabazz Muhammad saved.
INFO:PlayerApi:Xavier Munford saved.
INFO:PlayerApi:Dejounte Murray saved.
INFO:PlayerApi:Jamal Murray saved.
INFO:PlayerApi:Mike Muscala saved.
INFO:PlayerApi:Abdel Nader saved.
INFO:PlayerApi:Larry Nance Jr. saved.
INFO:PlayerApi:Shabazz Napier saved.
INFO:PlayerApi:Jameer Nelson saved.
INFO:PlayerApi:Raul Neto saved.
INFO:PlayerApi:Georges Niang saved.
INFO:PlayerApi:Joakim Noah saved.
INFO:PlayerApi:Nerlens Noel saved.
INFO:PlayerApi:Lucas Nogueira saved.
INFO:PlayerApi:Dirk Nowitzki saved.
INFO:PlayerApi:Frank Ntilikina saved.
INFO:PlayerApi:Jusuf Nurkic saved.
INFO:PlayerApi:David Nwaba saved.
INFO:PlayerApi:Johnny O'Bryant III saved.
INFO:PlayerApi:Royce O'Neale saved.
INFO:PlayerApi:Kyle O'Quinn saved.
INFO:PlayerApi:Semi Ojeleye saved.
INFO:PlayerApi:Emeka Okafor saved.
INFO:PlayerApi:Jahlil Okafor saved.
INFO:PlayerApi:Victor Oladipo saved.
INFO:PlayerApi:Kelly Olynyk saved.
INFO:PlayerApi:Chinanu Onuaku saved.
INFO:PlayerApi:Cedi Osman saved.
INFO:PlayerApi:Kelly Oubre Jr. saved.
INFO:PlayerApi:Zaza Pachulia saved.
INFO:PlayerApi:Marcus Paige saved.
INFO:PlayerApi:Georgios Papagiannis saved.
INFO:PlayerApi:Jabari Parker saved.
INFO:PlayerApi:Tony Parker saved.
INFO:PlayerApi:Chandler Parsons saved.
INFO:PlayerApi:Patrick Patterson saved.
INFO:PlayerApi:Justin Patton saved.
INFO:PlayerApi:Brandon Paul saved.
INFO:PlayerApi:Chris Paul saved.
INFO:PlayerApi:Adreian Payne saved.
INFO:PlayerApi:Cameron Payne saved.
INFO:PlayerApi:Elfrid Payton saved.
INFO:PlayerApi:Gary Payton II saved.
